x	y
1	113.183
2	113.169
3	113.171
4	113.189
5	113.163
6	113.19
7	113.184
8	113.209
9	113.193
10	113.175
11	113.153
12	113.145
13	113.159
14	113.16
15	113.134
16	113.131
17	113.154
18	113.187
19	113.181
20	113.191
21	113.182
22	113.183
23	113.205
24	113.199
25	113.212
26	113.222
27	113.224
28	113.216
29	113.235
30	113.258
31	113.266
32	113.258
33	113.25
34	113.282
35	113.298
36	113.342
37	113.339
38	113.335
39	113.353
40	113.354
41	113.323
42	113.335
43	113.314
44	113.311
45	113.309
46	113.317
47	113.318
48	113.3
49	113.3
50	113.298
51	113.287
52	113.267
53	113.233
54	113.213
55	113.192
56	113.147
57	113.158
58	113.15
59	113.144
60	113.132
61	113.131
62	113.143
63	113.159
64	113.176
65	113.15
66	113.12
67	113.105
68	113.119
69	113.13
70	113.136
71	113.147
72	113.162
73	113.129
74	113.076
75	113.039
76	113.017
77	113.032
78	113.082
79	113.044
80	112.991
81	112.966
82	113.045
83	113.042
84	113.042
85	113.093
86	113.05
87	113.026
88	113.144
89	113.119
90	113.031
91	113.096
92	113.108
93	113.079
94	113.052
95	113.023
96	113.035
97	113.004
98	112.935
99	112.914
100	112.861
101	112.775
102	112.812
103	112.818
104	112.893
105	112.866
106	112.886
107	112.858
108	112.949
109	112.93
110	112.943
111	112.972
112	113.028
113	113.043
114	113.041
115	112.97
116	112.997
117	112.984
118	112.984
119	113.008
120	112.997
121	112.967
122	112.965
123	112.948
124	112.89
125	112.932
126	112.934
127	112.945
128	112.94
129	112.896
130	112.896
131	112.896
132	112.922
133	112.983
134	112.971
135	112.957
136	112.961
137	112.968
138	112.985
139	113.001
140	113.068
141	113.047
142	113.041
143	113.067
144	113.095
145	113.19
146	113.189
147	113.166
148	113.171
149	113.141
150	113.137
151	113.194
152	113.239
153	113.231
154	113.239
155	113.239
156	113.232
157	113.206
158	113.182
159	113.185
160	113.17
161	113.164
162	113.169
163	113.176
164	113.198
165	113.223
166	113.232
167	113.212
168	113.236
169	113.198
170	113.199
171	113.203
172	113.254
173	113.267
174	113.334
175	113.325
176	113.376
177	113.399
178	113.392
179	113.388
180	113.379
181	113.4
182	113.388
183	113.428
184	113.442
185	113.422
186	113.435
187	113.426
188	113.42
189	113.426
190	113.4
191	113.422
192	113.423
193	113.4
194	113.383
195	113.396
196	113.381
197	113.381
198	113.375
199	113.421
200	113.401
201	113.384
202	113.419
203	113.422
204	113.428
205	113.415
206	113.399
207	113.398
208	113.408
209	113.42
210	113.426
211	113.428
212	113.434
213	113.403
214	113.389
215	113.407
216	113.409
217	113.415
218	113.416
219	113.418
220	113.419
221	113.41
222	113.412
223	113.409
224	113.415
225	113.42
226	113.421
227	113.466
228	113.486
229	113.495
230	113.477
231	113.486
232	113.478
233	113.486
234	113.478
235	113.489
236	113.48
237	113.459
238	113.495
239	113.491
240	113.526
241	113.556
242	113.558
243	113.551
244	113.561
245	113.565
246	113.568
247	113.544
248	113.564
249	113.552
250	113.558
251	113.565
252	113.595
253	113.601
254	113.579
255	113.588
